KNNRatio,PollPlantFams,PlantNectarTubeDim,PlantFlowerWidth,PlantNectarTubeDepth,PollBodySize,PollTongueLength,Interaction
0.8,1.0,0.3,0.3384615384615385,0.16949152542372883,0.04779217120314781,0.061248688124996134,1
0.6,1.0,0.096,0.16923076923076924,0.23502824858757063,0.04779217120314781,0.061248688124996134,1
0.6,1.0,0.0,0.38461538461538464,0.0,0.04779217120314781,0.061248688124996134,1
1.0,1.0,0.0,1.0,0.0,0.04779217120314781,0.061248688124996134,1
1.0,1.0,0.0,0.4292307692307692,0.0,0.04779217120314781,0.061248688124996134,1
0.6,1.0,0.1125,0.03461538461538462,0.10282485875706215,0.04779217120314781,0.061248688124996134,1
0.8,1.0,0.5,0.2,0.0,0.04779217120314781,0.061248688124996134,1
0.0,1.0,0.2975,0.25846153846153846,0.672316384180791,0.04779217120314781,0.061248688124996134,1
0.8,1.0,0.0,0.9230769230769231,0.0,0.04779217120314781,0.061248688124996134,1
0.8,1.0,0.094,0.08692307692307692,0.11299435028248588,0.04779217120314781,0.061248688124996134,1
0.2,1.0,0.0895,0.052,0.2135593220338983,0.04779217120314781,0.061248688124996134,1
0.8,1.0,0.0,0.9230769230769231,0.0,0.04779217120314781,0.061248688124996134,1
0.6,1.0,0.1,0.08461538461538462,0.08474576271186442,0.04779217120314781,0.061248688124996134,1
0.0,1.0,0.44349999999999995,0.22,0.25028248587570623,0.04779217120314781,0.061248688124996134,1
0.4,1.0,1.0,0.38461538461538464,0.0,0.04779217120314781,0.061248688124996134,1
0.0,1.0,0.14850000000000002,0.12769230769230772,0.18531073446327684,0.04779217120314781,0.061248688124996134,1
0.4,1.0,0.0,0.3384615384615385,0.0,0.04779217120314781,0.061248688124996134,1
0.0,1.0,0.091,0.06153846153846154,0.23728813559322035,0.04779217120314781,0.061248688124996134,1
0.6,1.0,0.0,0.6923076923076923,0.0,0.04779217120314781,0.061248688124996134,1
0.2,1.0,0.0,0.05384615384615385,0.0,0.04779217120314781,0.061248688124996134,1
0.8,1.0,0.0,0.2876923076923077,0.0,0.04779217120314781,0.061248688124996134,1
0.8,1.0,0.1843,0.281,0.4505084745762712,0.04779217120314781,0.061248688124996134,1
0.0,1.0,0.0,0.5384615384615384,0.0,0.04779217120314781,0.061248688124996134,1
0.8,0.375,0.3,0.3384615384615385,0.16949152542372883,0.08202568734083204,0.10593020954137526,1
0.8,0.375,0.096,0.16923076923076924,0.23502824858757063,0.08202568734083204,0.10593020954137526,1
0.6,0.375,0.0,0.38461538461538464,0.0,0.08202568734083204,0.10593020954137526,1
0.8,0.375,0.094,0.08692307692307692,0.11299435028248588,0.08202568734083204,0.10593020954137526,1
